time,blue_cells,red_cells
0,1,0
0.08558,2,0
1.27996,3,0
1.61738,4,0
1.76804,5,0
1.9043,6,0
2.09071,7,0
2.31263,8,0
2.38218,9,0
2.49208,10,0
2.59052,11,0
2.60521,12,0
2.67042,13,0
2.86667,14,0
2.99154,15,0
3.06021,16,0
3.06336,17,0
3.06797,18,0
3.17372,19,0
3.18232,20,0
3.22619,21,0
3.24304,22,0
3.27449,23,0
3.29689,24,0
3.31466,25,0
3.3454,26,0
3.50795,27,0
3.52124,28,0
3.52242,29,0
3.59676,30,0
3.60924,31,0
3.64994,32,0
3.6543,33,0
3.65863,34,0
3.67343,35,0
3.75909,36,0
3.77226,37,0
3.79314,38,0
3.82175,39,0
3.82572,40,0
3.91718,41,0
3.921,42,0
3.97151,43,0
3.9881,44,0
3.98875,45,0
4.00839,46,0
4.03893,47,0
4.048,48,0
4.07741,49,0
4.08893,50,0
4.09084,51,0
4.10699,52,0
4.13633,53,0
4.16727,54,0
4.17495,55,0
4.18588,56,0
4.23457,57,0
4.24095,58,0
4.25148,59,0
4.28869,60,0
4.29984,61,0
4.31468,62,0
4.3354,63,0
4.34316,64,0
4.36664,65,0
4.3761,66,0
4.37767,67,0
4.37911,68,0
4.38723,69,0
4.419,70,0
4.45069,71,0
4.4953,72,0
4.50304,73,0
4.50826,74,0
4.50889,75,0
4.51176,76,0
4.51254,77,0
4.51486,78,0
4.52957,79,0
4.54655,80,0
4.55459,81,0
4.5557,82,0
4.55841,83,0
4.56439,84,0
4.62095,85,0
4.6255,86,0
4.62654,87,0
4.69579,88,0
4.70154,89,0
4.70572,90,0
4.72198,91,0
4.72738,92,0
4.74038,93,0
4.74156,94,0
4.74222,95,0
4.74507,96,0
4.78451,97,0
4.78551,98,0
4.79212,99,0
4.79387,100,0
4.82186,101,0
4.83117,102,0
4.84512,103,0
4.85183,104,0
4.85226,105,0
4.85304,106,0
4.85353,107,0
4.85551,108,0
4.87003,109,0
4.87094,110,0
4.89015,111,0
4.9135,112,0
4.91476,113,0
4.93108,114,0
4.95115,115,0
4.95356,116,0
4.96271,117,0
4.96452,118,0
4.97091,119,0
4.97839,120,0
4.97974,121,0
4.98825,122,0
5.00249,122,1
5.00288,123,1
5.02551,124,1
5.03462,125,1
5.03753,126,1
5.04357,127,1
5.04538,128,1
5.04845,129,1
5.05365,130,1
5.06192,131,1
5.06326,132,1
5.06869,133,1
5.07096,134,1
5.07423,135,1
5.08717,136,1
5.09043,137,1
5.1046,138,1
5.11052,139,1
5.1201,140,1
5.12676,141,1
5.15308,142,1
5.15853,143,1
5.15909,144,1
5.16779,145,1
5.16984,146,1
5.17578,147,1
5.17881,148,1
5.1798,149,1
5.18066,150,1
5.18872,151,1
5.19763,152,1
5.19775,153,1
5.19785,154,1
5.20388,155,1
5.20923,156,1
5.20929,157,1
5.20931,158,1
5.21305,159,1
5.21444,160,1
5.21573,161,1
5.22388,162,1
5.22557,163,1
5.22694,164,1
5.22826,165,1
5.22856,166,1
5.23028,167,1
5.2348,168,1
5.23684,169,1
5.24228,170,1
5.24922,171,1
5.27128,172,1
5.27559,173,1
5.28697,174,1
5.2878,175,1
5.28862,176,1
5.29097,177,1
5.29841,178,1
5.29937,179,1
5.30015,180,1
5.30401,181,1
5.30473,182,1
5.31793,183,1
5.32711,184,1
5.32948,185,1
5.33005,186,1
5.3401,187,1
5.34383,188,1
5.35011,189,1
5.36006,190,1
5.3616,191,1
5.36207,192,1
5.36946,193,1
5.37004,194,1
5.37428,195,1
5.38318,196,1
5.3833,197,1
5.38617,198,1
5.39405,199,1
5.39858,200,1
5.40575,201,1
5.41,202,1
5.41536,203,1
5.41728,204,1
5.42625,205,1
5.42891,206,1
5.45164,207,1
5.46093,208,1
5.4612,209,1
5.46158,210,1
5.46442,211,1
5.46505,212,1
5.46875,213,1
5.47443,214,1
5.47575,215,1
5.48689,216,1
5.4871,217,1
5.48713,218,1
5.49739,219,1
5.50272,220,1
5.50281,221,1
5.50507,222,1
5.50545,223,1
5.51745,224,1
5.52172,225,1
5.5238,226,1
5.53939,227,1
5.54261,228,1
5.54636,229,1
5.54822,230,1
5.54977,231,1
5.56609,232,1
5.56964,233,1
5.57314,234,1
5.57908,235,1
5.59078,236,1
5.59511,237,1
5.59726,238,1
5.59814,239,1
5.60625,240,1
5.60834,241,1
5.61534,242,1
5.61638,243,1
5.61645,244,1
5.61668,245,1
5.61739,245,2
5.62428,246,2
5.63372,247,2
5.64,248,2
5.64244,249,2
5.64287,250,2
5.64645,251,2
5.64962,252,2
5.65245,253,2
5.65323,254,2
5.65743,255,2
5.65895,256,2
5.66142,257,2
5.67331,258,2
5.67429,259,2
5.69114,260,2
5.69178,261,2
5.69182,262,2
5.69351,263,2
5.70151,264,2
5.70267,265,2
5.70372,266,2
5.70475,267,2
5.72273,268,2
5.72466,269,2
5.72687,270,2
5.72751,271,2
5.73,272,2
5.73413,273,2
5.73537,274,2
